"ID_vol";"Year";"Month";"DayofMonth";"DayOfWeek";"Dep_hour";"Dep_min";"Arr_hour";"Arr_min";"ArrDelay";"DepDelay";"Origin";"Dest";"Distance"
"34";2008;"02";"14";4;"19";"44";"23";"44";69;54;"MSP";"EWR";1008
"35";2008;"11";"24";1;"17";"00";"18";"45";-11;-10;"TUS";"SLC";601
"36";2008;"09";"05";5;"16";"50";"20";"42";-24;-7;"IAH";"IAD";1190
"37";2008;"12";"31";3;"08";"09";"10";"20";0;9;"SEA";"LAS";866
"38";2008;"10";"15";3;"18";"23";"19";"42";-9;-5;"LAX";"MRY";267
"39";2008;"09";"14";7;"19";"52";"22";"34";-11;-3;"ABQ";"MCI";718
"40";2008;"10";"24";5;"07";"22";"09";"50";15;-3;"EWR";"CLT";529
"41";2008;"07";"28";1;"09";"12";"10";"17";-3;-4;"MSP";"FAR";223
"42";2008;"04";"28";1;"05";"45";"09";"13";19;0;"AUS";"ATL";813
"43";2008;"05";"15";4;"06";"33";"07";"06";-15;-7;"FNT";"DTW";56
"44";2008;"09";"24";3;"16";"28";"18";"54";-21;-2;"PHL";"PBI";951
"45";2008;"11";"14";5;"05";"15";"08";"32";-18;-5;"PDX";"PHX";1009
"46";2008;"05";"04";7;"22";"22";"23";"39";-7;-3;"CLT";"IAD";321
"47";2008;"01";"07";1;"21";"00";NA;NA;NA;0;"IAH";"MSP";1034
"48";2008;"04";"08";2;"14";"01";"14";"55";50;56;"GEG";"SEA";224
"49";2008;"07";"18";5;"12";"04";"17";"24";-21;-6;"OAK";"DFW";1456
"50";2008;"03";"17";1;"20";"53";"21";"50";-40;-7;"PIT";"PHL";267
"51";2008;"09";"04";4;"10";"55";"12";"57";-34;-5;"LGA";"CHS";641
"52";2008;"06";"17";2;"20";"50";"22";"27";-8;0;"SMF";"SEA";605
"53";2008;"01";"25";5;"06";"27";"09";"20";15;17;"ORD";"BWI";622
"54";2008;"01";"01";2;"11";"27";"14";"22";15;-4;"GEG";"SLC";546
"55";2008;"08";"29";5;"06";"57";"08";"08";-27;-3;"MCI";"LAX";1363
"56";2008;"05";"13";2;"12";"05";"15";"52";-18;-5;"ORD";"FLL";1182
"57";2008;"07";"06";7;NA;NA;NA;NA;NA;NA;"ANC";"ADQ";252
"58";2008;"11";"23";7;"09";"14";"15";"18";1;0;"LAX";"ORD";1745
"59";2008;"01";"24";4;"10";"59";"11";"27";5;-1;"SLC";"LAS";368
"60";2008;"05";"19";1;"08";"56";"10";"21";1;-4;"SAN";"SJC";417
"61";2008;"08";"24";7;"11";"53";"15";"59";19;13;"OMA";"EWR";1133
"62";2008;"06";"01";7;"14";"43";"17";"10";-6;-2;"ORD";"DFW";802
"63";2008;"09";"05";5;"06";"53";"08";"04";-4;-6;"DCA";"EWR";199
"64";2008;"08";"13";3;"18";"57";"21";"31";-33;-8;"MCO";"EWR";938
"65";2008;"01";"23";3;NA;NA;NA;NA;NA;NA;"PNS";"MEM";355
"66";2008;"07";"30";3;"07";"52";"10";"11";-11;-8;"TPA";"MSP";1307
"67";2008;"03";"03";1;"08";"22";"09";"35";-8;-13;"LAX";"LAS";236
"68";2008;"09";"08";1;"14";"38";"15";"51";-4;-7;"JAX";"FLL";318
"69";2008;"07";"26";6;"11";"33";"12";"50";-15;-2;"STL";"LAS";1372
"70";2008;"01";"18";5;"12";"59";"16";"27";17;-1;"BOS";"MCO";1121
"71";2008;"06";"11";3;"10";"42";"12";"51";-2;22;"SEA";"LAS";866
"72";2008;"03";"05";3;"11";"40";"12";"58";43;40;"BDL";"MKE";780
"73";2008;"01";"06";7;"06";"15";"07";"46";-3;0;"EWN";"ATL";433
"74";2008;"11";"19";3;"14";"20";"16";"43";-8;-10;"SRQ";"IND";876
"75";2008;"01";"05";6;"15";"15";"16";"48";-11;0;"ATL";"SAT";874
"76";2008;"02";"23";6;"11";"51";"14";"29";-9;11;"MSP";"ANC";2518
"77";2008;"07";"06";7;"17";"09";"18";"46";175;177;"SRQ";"ATL";445
"78";2008;"07";"21";1;"08";"41";"09";"40";-2;6;"ATL";"IAH";689
"79";2008;"03";"17";1;"07";"30";"09";"25";2;-5;"CLT";"EWR";529
"80";2008;"03";"07";5;"08";"39";"09";"37";3;-1;"LAX";"SMX";135
"81";2008;"03";"24";1;"05";"58";"08";"58";-31;-7;"BZN";"MSP";874
"82";2008;"11";"25";2;"12";"20";"15";"30";13;25;"ORD";"LGA";733
"83";2008;"03";"11";2;"16";"40";"18";"18";-23;-2;"IAD";"DEN";1452
"84";2008;"06";"30";1;"06";"53";"12";"28";-15;-2;"LAX";"MEM";1619
"85";2008;"06";"27";5;"21";"16";"22";"55";111;126;"MSP";"LAX";1536
"86";2008;"06";"18";3;"18";"58";"20";"17";-6;-5;"DTW";"SYR";374
"87";2008;"07";"28";1;"16";"19";"16";"14";-6;-1;"ATL";"DHN";171
"88";2008;"07";"13";7;"17";"39";"18";"59";31;26;"STL";"DEN";770
"89";2008;"06";"03";2;"11";"05";"13";"04";-17;-10;"LGA";"CLT";544
"90";2008;"02";"07";4;"14";"42";"14";"53";-2;2;"PHX";"ONT";325
"91";2008;"01";"10";4;"09";"39";"11";"55";63;44;"IAH";"STL";668
"92";2008;"01";"25";5;"10";"20";"12";"07";7;0;"PHX";"SLC";507
"93";2008;"05";"05";1;"09";"21";"11";"08";-2;-4;"CLT";"DFW";936
"94";2008;"06";"18";3;"18";"48";"20";"26";-14;-2;"DFW";"PNS";604
"95";2008;"07";"19";6;"09";"45";"11";"33";83;20;"MSN";"ORD";109
"96";2008;"01";"25";5;"17";"34";"21";"47";-24;-6;"DFW";"EWR";1372
"97";2008;"10";"30";4;"19";"19";"21";"11";-10;-1;"CLT";"JFK";541
"98";2008;"04";"24";4;"17";"37";"19";"30";6;2;"ATL";"BWI";576
"99";2008;"05";"06";2;"17";"55";"19";"54";-6;0;"CLT";"JFK";541
"100";2008;"07";"22";2;"19";"00";"22";"41";78;-5;"BNA";"CLT";329
"101";2008;"10";"12";7;"16";"55";"18";"10";-11;2;"IAD";"TYS";419
"102";2008;"05";"15";4;"13";"06";"14";"48";10;1;"MLB";"ATL";443
"103";2008;"12";"28";7;"08";"47";"09";"48";3;22;"DCA";"ORD";612
"104";2008;"05";"13";2;"22";"44";"22";"25";-9;-4;"ATL";"BHM";134
"105";2008;"10";"17";5;"12";"26";"14";"53";-2;6;"PHX";"SLC";507
"106";2008;"03";"05";3;"06";"52";"10";"47";15;-8;"MSP";"CLT";930
"107";2008;"12";"29";1;"19";"32";"20";"10";-10;-6;"KOA";"HNL";163
"108";2008;"05";"31";6;"06";"13";"08";"02";6;-2;"PHL";"DTW";453
"109";2008;"11";"27";4;"13";"15";"14";"14";-11;-5;"AUS";"HRL";273
"110";2008;"03";"04";2;NA;NA;NA;NA;NA;NA;"MCO";"CLE";895
"111";2008;"07";"13";7;"23";"56";"07";"33";75;101;"LAX";"BWI";2329
"112";2008;"11";"06";4;"08";"10";"14";"00";16;-5;"LAX";"MSP";1536
"113";2008;"04";"14";1;"11";"56";"13";"57";-15;-7;"PHL";"ATL";665
"114";2008;"08";"17";7;"19";"20";"20";"52";-22;-5;"DTW";"SEA";1927
"115";2008;"07";"16";3;"13";"50";"14";"34";25;20;"ATL";"CSG";83
"116";2008;"02";"19";2;"16";"39";"20";"59";-21;-6;"LAS";"DFW";1055
"117";2008;"06";"12";4;"08";"19";"09";"15";-5;-1;"FLL";"MSY";673
"118";2008;"03";"10";1;"16";"12";"17";"46";199;192;"OKC";"IAH";395
"119";2008;"03";"26";3;"14";"11";"16";"53";-7;1;"GUC";"DFW";678
"120";2008;"07";"06";7;"22";"09";"22";"55";60;64;"SLC";"YUM";580
"121";2008;"08";"09";6;"13";"03";"14";"46";-21;-6;"LGA";"MSP";1020
"122";2008;"02";"14";4;"07";"00";"07";"54";-6;0;"DAL";"SAT";248
"123";2008;"09";"11";4;"19";"31";"20";"16";17;29;"DFW";"DEN";641
"124";2008;"05";"30";5;"19";"57";"20";"59";-11;-8;"ATL";"FLO";273
"125";2008;"03";"05";3;"11";"43";"15";"07";-3;-7;"BOS";"FLL";1237
"126";2008;"08";"22";5;"00";"14";"05";"06";1;4;"LAX";"DFW";1235
"127";2008;"08";"12";2;"19";"46";"20";"49";-11;-4;"SJC";"ONT";333
"128";2008;"12";"22";1;"16";"00";"17";"33";40;40;"CVG";"BWI";430
"129";2008;"03";"17";1;"11";"55";"12";"57";2;0;"TPA";"FLL";197
"130";2008;"08";"07";4;"14";"28";"16";"11";1;-2;"LAS";"SFO";414
"131";2008;"06";"17";2;"06";"38";"09";"20";-5;3;"ELP";"HOU";677
"132";2008;"01";"18";5;"06";"49";"08";"23";-2;9;"OAK";"PDX";543
"133";2008;"06";"05";4;"14";"00";"18";"29";44;-10;"FCA";"MSP";1026
"134";2008;"02";"03";7;"18";"14";"21";"11";26;29;"ORD";"BTV";763
"135";2008;"08";"13";3;"21";"00";"22";"15";10;-5;"CMH";"SYR";412
"136";2008;"06";"21";6;"13";"49";"14";"35";0;24;"DFW";"BUR";1231
"137";2008;"04";"24";4;"07";"03";"08";"20";-15;-7;"PHL";"RDU";336
"138";2008;"02";"12";2;"19";"14";"01";"03";53;59;"OAK";"MDW";1844
"139";2008;"01";"13";7;"11";"37";"13";"45";20;7;"MCO";"ORD";1005
"140";2008;"02";"17";7;"09";"18";"11";"31";-31;3;"BWI";"LAX";2329
"141";2008;"12";"01";1;"17";"29";"18";"48";3;29;"RDU";"LGA";431
"142";2008;"03";"28";5;"12";"18";"13";"19";-33;-14;"CAE";"ORD";666
"143";2008;"11";"04";2;"15";"31";"16";"32";-8;-9;"AUS";"DFW";190
"144";2008;"12";"23";2;"12";"39";"14";"23";108;74;"STL";"MEM";256
"145";2008;"07";"07";1;"15";"30";"18";"29";0;5;"BDL";"FLL";1173
"146";2008;"11";"09";7;"09";"17";"11";"04";3;-6;"BZN";"DEN";525
"147";2008;"02";"29";5;"15";"48";"16";"46";1;8;"OKC";"MCI";313
"148";2008;"03";"03";1;"21";"16";"22";"59";-1;1;"MIA";"IAH";964
"149";2008;"06";"18";3;"19";"32";"21";"04";28;14;"STL";"DEN";770
"150";2008;"06";"13";5;"12";"02";"15";"09";20;2;"JFK";"LGB";2465
"151";2008;"01";"10";4;"16";"24";"20";"01";-9;4;"MSP";"EWR";1008
"152";2008;"09";"19";5;"13";"06";"21";"12";-12;-4;"KOA";"LAX";2504
"153";2008;"01";"26";6;"11";"59";"13";"27";19;-1;"DTW";"MEM";610
"154";2008;"08";"12";2;"13";"04";"14";"03";-7;-1;"LAS";"BUR";223
"155";2008;"09";"12";5;"15";"10";"15";"48";-12;-4;"SAN";"LAX";109
"156";2008;"03";"21";5;"07";"01";"09";"41";-9;-4;"PBI";"ISP";1052
"157";2008;"04";"16";3;"10";"01";"11";"53";34;16;"ORD";"DEN";888
"158";2008;"01";"21";1;"21";"27";"21";"47";12;12;"PHX";"BUR";369
"159";2008;"09";"16";2;"13";"34";"15";"08";-10;-5;"DEN";"SFO";967
"160";2008;"09";"25";4;"09";"29";"10";"56";43;54;"CLE";"LGA";418
"161";2008;"01";"29";2;"21";"12";"22";"01";84;100;"ACV";"SMF";207
"162";2008;"09";"16";2;"18";"19";"20";"34";-1;-1;"DFW";"ORD";802
"163";2008;"09";"04";4;"12";"56";"14";"24";-6;-4;"JAN";"DFW";408
"164";2008;"01";"04";5;"15";"03";"17";"13";-4;0;"MCO";"PIT";834
"165";2008;"08";"15";5;NA;NA;NA;NA;NA;NA;"BDL";"RDU";532
"166";2008;"01";"10";4;"20";"50";"22";"25";7;0;"ATL";"TPA";406
"167";2008;"11";"26";3;"13";"43";"15";"40";-6;-2;"MIA";"ATL";595
"168";2008;"03";"27";4;"23";"39";"02";"18";130;129;"ORD";"IAD";589
"169";2008;"09";"24";3;"14";"40";"15";"36";-3;7;"SFO";"FAT";158
"170";2008;"05";"29";4;"11";"56";"12";"38";-12;-4;"DCA";"BNA";562
"171";2008;"05";"23";5;"21";"12";"22";"48";-10;-4;"DTW";"SWF";479
"172";2008;"08";"08";5;"06";"15";"07";"55";-4;-5;"RDU";"JFK";426
"173";2008;"05";"28";3;"13";"51";"14";"42";-3;1;"RNO";"OAK";180
"174";2008;"05";"05";1;"07";"23";"09";"57";7;3;"FLL";"BWI";925
"175";2008;"05";"10";6;"09";"33";"13";"09";4;18;"DFW";"ORF";1213
"176";2008;"04";"24";4;"12";"41";"13";"51";-11;1;"SFO";"BFL";238
"177";2008;"04";"04";5;NA;NA;NA;NA;NA;NA;"EWR";"MHT";209
"178";2008;"06";"07";6;"18";"47";"21";"46";43;14;"ORD";"SFO";1846
"179";2008;"03";"18";2;"09";"47";"11";"55";6;2;"SEA";"SFO";679
"180";2008;"06";"21";6;"08";"40";"09";"45";-11;0;"IAH";"MFE";316
"181";2008;"11";"09";7;"12";"02";"13";"36";3;-3;"DTW";"DCA";405
"182";2008;"05";"09";5;"12";"16";"14";"41";-11;6;"SEA";"PSP";987
"183";2008;"08";"15";5;"19";"07";"19";"44";11;8;"OGG";"HNL";100
"184";2008;"05";"25";7;"14";"58";"15";"55";-12;-12;"CLE";"DTW";95
"185";2008;"10";"29";3;"20";"09";"21";"16";-9;-1;"RNO";"LAS";345
"186";2008;"11";"12";3;"06";"30";"08";"50";-14;-5;"PSP";"PHX";261
"187";2008;"02";"26";2;"13";"51";"14";"58";83;76;"ROC";"ORD";528
"188";2008;"03";"21";5;"15";"34";"18";"08";118;119;"MCO";"LAX";2217
"189";2008;"08";"30";6;"14";"48";"16";"23";63;53;"ATL";"MCO";403
"190";2008;"08";"19";2;"07";"37";"07";"48";-17;-5;"CMH";"ORD";296
"191";2008;"05";"08";4;"21";"11";"05";"31";11;1;"OGG";"LAX";2486
"192";2008;"06";"18";3;"08";"28";"09";"35";-5;-2;"MAF";"DFW";309
"193";2008;"01";"02";3;"21";"10";"21";"54";8;0;"CVG";"LEX";70
"194";2008;"06";"08";7;"20";"04";"21";"19";-6;-1;"MCO";"IAH";853
"195";2008;"01";"02";3;"16";"32";"19";"43";27;32;"OMA";"ATL";821
"196";2008;"03";"31";1;"09";"31";"11";"51";11;-4;"DFW";"PDX";1616
"197";2008;"12";"27";6;"11";"41";"13";"55";226;206;"ORD";"MTJ";1081
"198";2008;"01";"22";2;"10";"41";"12";"30";-23;-4;"LGA";"CMH";478
"199";2008;"05";"08";4;"06";"57";"08";"06";11;-3;"SLC";"SFO";599
"200";2008;"12";"24";3;"18";"08";"21";"49";104;88;"BOS";"PDX";2537
"201";2008;"11";"27";4;"18";"07";"21";"21";-24;-3;"PDX";"DEN";992
"202";2008;"03";"17";1;"09";"06";"10";"25";63;76;"CLE";"PHL";363
"203";2008;"02";"05";2;"12";"43";"16";"00";25;23;"PHX";"DFW";868
"204";2008;"03";"12";3;"05";"58";"06";"56";-6;-2;"LGA";"BOS";185
"205";2008;"10";"16";4;"17";"18";"18";"50";-9;-8;"PVD";"ORD";849
"206";2008;"01";"24";4;"19";"58";"20";"33";-14;-12;"HNL";"LIH";102
"207";2008;"07";"22";2;"11";"32";"14";"00";33;22;"MEM";"MSP";700
"208";2008;"02";"18";1;"17";"51";"20";"23";-2;-4;"PHL";"ATL";665
"209";2008;"05";"15";4;"11";"20";"12";"20";-3;-2;"SLC";"PIH";150
"210";2008;"06";"09";1;"14";"50";"16";"16";10;10;"DEN";"SLC";391
"211";2008;"07";"31";4;"16";"33";"18";"19";83;98;"CLE";"EWR";404
"212";2008;"07";"26";6;"14";"54";"15";"54";-3;-5;"SAT";"IAH";191
"213";2008;"08";"19";2;"09";"26";"12";"47";-13;2;"ORD";"TPA";1012
"214";2008;"08";"31";7;"19";"11";"22";"46";-27;-9;"ORD";"ANC";2846
"215";2008;"03";"24";1;"09";"10";"09";"56";6;0;"MCI";"COS";538
"216";2008;"07";"08";2;"08";"19";"09";"18";-17;-6;"XNA";"DFW";281
"217";2008;"11";"26";3;"10";"08";"11";"45";3;27;"IAD";"DEN";1452
"218";2008;"09";"07";7;"06";"59";"07";"52";4;-6;"MCI";"DEN";533
"219";2008;"05";"28";3;"11";"37";"13";"54";-2;-6;"CAK";"TPA";894
"220";2008;"03";"21";5;"06";"56";"10";"17";140;-4;"FAR";"MSP";223
"221";2008;"05";"31";6;"11";"20";"12";"35";-16;-5;"BTV";"JFK";267
"222";2008;"06";"16";1;"18";"13";"23";"32";137;23;"EWR";"LAX";2454
"223";2008;"01";"09";3;"19";"40";"21";"44";24;40;"ATL";"PHX";1587
"224";2008;"04";"08";2;"13";"40";"15";"01";-9;-3;"DEN";"DRO";251
"225";2008;"02";"23";6;"20";"34";"23";"03";-10;4;"SNA";"SEA";978
"226";2008;"11";"02";7;"14";"39";"19";"01";11;9;"ANC";"SEA";1449
"227";2008;"08";"01";5;"20";"52";"01";"15";-19;-2;"IAH";"EWR";1400
"228";2008;"01";"08";2;"14";"27";"16";"23";-16;-11;"SJC";"SEA";697
"229";2008;"09";"19";5;"09";"35";"10";"24";-6;0;"SLC";"SNA";588
"230";2008;"10";"02";4;"21";"13";"23";"18";-2;-2;"DFW";"ORD";802
"231";2008;"01";"17";4;"09";"49";"12";"39";22;-1;"PHL";"MSY";1088
"232";2008;"02";"01";5;"07";"26";"11";"04";-6;-4;"TPA";"SJU";1237
"233";2008;"10";"10";5;"11";"03";"12";"29";2;-7;"SLC";"BTM";357
"234";2008;"05";"30";5;"12";"14";"13";"33";8;-6;"ORD";"EVV";273
"235";2008;"09";"16";2;"11";"36";"13";"18";-12;-9;"BDL";"RDU";532
"236";2008;"03";"21";5;"13";"03";"16";"05";-5;-2;"JFK";"HOU";1428
"237";2008;"08";"14";4;"22";"54";"01";"20";212;239;"PBI";"LGA";1035
"238";2008;"07";"01";2;"21";"41";"23";"37";20;19;"DEN";"BOI";649
"239";2008;"11";"22";6;"12";"25";"14";"29";-10;0;"DTW";"SFO";2079
"240";2008;"07";"11";5;"21";"06";"23";"27";133;96;"EWR";"BOS";200
"241";2008;"09";"29";1;"21";"27";"23";"01";-2;-11;"OME";"ANC";539
"242";2008;"01";"28";1;"09";"56";"11";"42";-8;6;"CMH";"DFW";927
"243";2008;"04";"27";7;"15";"02";"16";"31";0;1;"SLC";"MSO";436
"244";2008;"10";"05";7;"10";"07";"11";"33";-7;2;"LAS";"SMF";397
"245";2008;"10";"29";3;"14";"34";"17";"40";18;-5;"LAX";"HNL";2556
"246";2008;"02";"22";5;"11";"28";"15";"20";6;-5;"MDW";"RSW";1105
"247";2008;"12";"03";3;"19";"23";"21";"00";32;3;"IAH";"DAL";217
"248";2008;"01";"21";1;"19";"56";"21";"02";12;16;"SJC";"LAX";308
"249";2008;"02";"12";2;"19";"14";"21";"15";0;-1;"MEM";"SAT";625
"250";2008;"04";"06";7;"20";"25";"21";"40";25;25;"SMF";"LAS";397
"251";2008;"05";"19";1;"08";"02";"11";"08";-6;2;"GEG";"DEN";836
"252";2008;"06";"15";7;"09";"51";"11";"52";-3;1;"TPA";"SDF";727
"253";2008;"08";"20";3;"10";"28";"18";"04";-6;-2;"LAX";"CLE";2053
"254";2008;"04";"07";1;"16";"06";"18";"08";3;-4;"JAC";"DEN";406
"255";2008;"07";"16";3;"10";"50";"14";"01";-9;5;"ABQ";"STL";934
"256";2008;"07";"15";2;"06";"00";"07";"40";-5;0;"RDU";"DFW";1062
"257";2008;"06";"05";4;"14";"04";"16";"38";-12;-1;"BNA";"TPA";612
"258";2008;"07";"26";6;"19";"50";"20";"55";5;15;"LAS";"RNO";345
"259";2008;"11";"25";2;"19";"30";"21";"56";1;0;"DFW";"SEA";1660
"260";2008;"11";"25";2;"10";"32";"12";"04";13;8;"DTW";"DCA";405
"261";2008;"09";"07";7;"13";"40";"14";"47";2;0;"DFW";"ONT";1189
"262";2008;"05";"10";6;"15";"58";"17";"48";-12;3;"PHX";"SFO";651
"263";2008;"12";"25";4;"17";"32";"17";"54";-16;-6;"IND";"MEM";381
"264";2008;"06";"12";4;"09";"18";"10";"31";-4;-1;"DTW";"LEX";296
"265";2008;"02";"01";5;"17";"46";"19";"42";65;23;"DTW";"IND";231
"266";2008;"08";"16";6;"06";"19";"07";"50";-6;4;"MDT";"CVG";429
"267";2008;"09";"19";5;"22";"09";"06";"06";-9;-6;"OGG";"LAX";2486
"268";2008;"08";"11";1;"17";"18";"19";"35";-15;3;"BHM";"MCO";478
"269";2008;"06";"04";3;"16";"06";"17";"40";9;-4;"LAX";"SMF";373
"270";2008;"04";"05";6;"14";"51";"19";"11";-14;6;"SAT";"PHL";1495
"271";2008;"09";"10";3;"11";"49";"12";"44";44;49;"ONT";"LAS";197
"272";2008;"12";"09";2;"11";"53";"13";"20";-3;-8;"ROA";"ATL";357
"273";2008;"09";"24";3;"16";"48";"17";"51";-7;-7;"AVL";"ATL";164
"274";2008;"07";"02";3;"12";"59";"16";"07";8;0;"MSP";"CVG";596
"275";2008;"02";"29";5;"10";"48";"11";"23";-9;-8;"TUS";"LAX";451
"276";2008;"10";"26";7;"09";"02";"10";"15";4;-5;"DTW";"MCI";629
"277";2008;"07";"21";1;"19";"18";"19";"44";9;1;"ATL";"MEM";332
"278";2008;"05";"13";2;"11";"19";"14";"31";116;109;"MDW";"EWR";711
"279";2008;"05";"01";4;"19";"16";"21";"04";19;31;"DFW";"CMI";693
"280";2008;"04";"01";2;"08";"12";"12";"42";37;22;"HOU";"PHL";1335
"281";2008;"08";"29";5;"12";"00";"12";"58";-2;0;"IAH";"CRP";201
"282";2008;"12";"11";4;"19";"10";"19";"37";3;0;"ATL";"MEM";332
"283";2008;"11";"22";6;"07";"03";"09";"53";8;-2;"BWI";"DFW";1217
"284";2008;"11";"03";1;"06";"16";"07";"54";-1;-6;"LAS";"SFO";414
"285";2008;"02";"02";6;"16";"21";"19";"58";2;-4;"MKE";"TPA";1075
"286";2008;"06";"02";1;"11";"11";"11";"48";-7;-4;"MKE";"ATW";96
"287";2008;"01";"06";7;"06";"16";"12";"26";-7;-4;"SJC";"ORD";1829
"288";2008;"12";"16";2;"16";"27";"17";"55";5;2;"SMF";"SAN";480
"289";2008;"10";"18";6;"18";"50";"23";"45";16;0;"IAH";"BOS";1597
"290";2008;"06";"26";4;"07";"10";"08";"40";-5;0;"MDW";"PHX";1444
"291";2008;"03";"19";3;"11";"00";"13";"14";34;-5;"DSM";"MEM";490
"292";2008;"12";"06";6;"11";"49";"19";"29";9;-1;"LAS";"BWI";2106
"293";2008;"02";"28";4;"08";"24";"11";"01";-9;-1;"MDW";"SFO";1855
"294";2008;"07";"06";7;"21";"49";"00";"58";257;273;"SAT";"ATL";874
"295";2008;"05";"06";2;"08";"00";"08";"47";-6;0;"ORD";"MLI";139
"296";2008;"02";"10";7;"10";"55";"11";"19";-3;-5;"SLC";"LAS";368
"297";2008;"07";"06";7;"15";"25";"17";"25";60;40;"ATL";"ORF";516
"298";2008;"12";"09";2;"19";"11";"20";"16";-4;6;"ABQ";"PHX";328
"299";2008;"11";"18";2;"17";"09";"18";"12";-11;-6;"SLC";"SUN";223
"300";2008;"01";"13";7;"22";"45";"23";"54";-2;0;"ATL";"JAX";270
"301";2008;"12";"04";4;"14";"38";"16";"31";10;3;"ATL";"FLL";581
"302";2008;"09";"15";1;"16";"02";"17";"00";-8;4;"DTW";"DEN";1123
"303";2008;"03";"29";6;"13";"29";"15";"09";44;29;"OKC";"IAH";395
"304";2008;"02";"10";7;"16";"35";"18";"12";7;5;"HOU";"BHM";570
"305";2008;"02";"18";1;"07";"00";"09";"17";20;0;"GSO";"BOS";645
"306";2008;"02";"09";6;"17";"17";"18";"05";0;-3;"DFW";"ELP";551
"307";2008;"06";"09";1;"15";"35";"18";"02";7;5;"ATL";"PHL";665
"308";2008;"02";"05";2;"16";"11";"18";"55";70;11;"ORD";"MEM";491
"309";2008;"09";"18";4;"12";"56";"15";"36";-21;-3;"JFK";"MCO";944
"310";2008;"06";"12";4;"10";"19";"11";"44";2;-1;"IAH";"OKC";395
"311";2008;"10";"05";7;"06";"45";"10";"31";1;-5;"IAH";"CLE";1091
"312";2008;"09";"12";5;"21";"40";"22";"34";32;35;"ORD";"GRB";174
"313";2008;"07";"31";4;"10";"58";"12";"44";-1;-7;"DSM";"MEM";490
"314";2008;"11";"20";4;"19";"28";"20";"19";-3;-5;"MCI";"DEN";533
"315";2008;"08";"19";2;"09";"01";"11";"35";51;61;"SNA";"SEA";978
"316";2008;"08";"28";4;"14";"34";"17";"49";-11;-1;"DFW";"CMH";927
"317";2008;"03";"01";6;"06";"54";"07";"56";-3;-6;"CAE";"MEM";511
"318";2008;"01";"11";5;"08";"36";"11";"53";36;-4;"JFK";"DEN";1626
"319";2008;"11";"14";5;"10";"18";"12";"06";30;-2;"ATL";"MKE";669
